Date,Mobile Operating System,Percent of Usage
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,17.92
04/05/2019,iOS,20.04
04/05/2019,SymbianOS,33.58
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.15
04/05/2019,Samsung,5.64
04/05/2019,Unknown,5.91
04/05/2019,Windows Phone,0.26
04/05/2019,Sony Ericsson,3.19
04/05/2019,Linux,0
04/05/2019,bada,0.39
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.26
04/05/2019,WinCE,0.23
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.1
04/05/2019,webOS,0.11
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.07
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,18.93
04/05/2019,iOS,20.03
04/05/2019,SymbianOS,32.45
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.48
04/05/2019,Samsung,5.76
04/05/2019,Unknown,5.88
04/05/2019,Windows Phone,0.27
04/05/2019,Sony Ericsson,2.97
04/05/2019,Linux,0
04/05/2019,bada,0.39
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.09
04/05/2019,Playstation,0.24
04/05/2019,WinCE,0.21
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.1
04/05/2019,webOS,0.09
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,20.6
04/05/2019,iOS,19.41
04/05/2019,SymbianOS,32.12
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,11.84
04/05/2019,Samsung,6.04
04/05/2019,Unknown,5.72
04/05/2019,Windows Phone,0.29
04/05/2019,Sony Ericsson,2.7
04/05/2019,Linux,0
04/05/2019,bada,0.45
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.09
04/05/2019,Playstation,0.26
04/05/2019,WinCE,0.21
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.09
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.04
04/05/2019,Android,20.9
04/05/2019,iOS,21.21
04/05/2019,SymbianOS,31.83
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,10.72
04/05/2019,Samsung,5.6
04/05/2019,Unknown,5.9
04/05/2019,Windows Phone,0.33
04/05/2019,Sony Ericsson,2.26
04/05/2019,Linux,0
04/05/2019,bada,0.47
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
04/05/2019,Playstation,0.25
04/05/2019,WinCE,0.18
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.09
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.03
04/05/2019,Android,22.11
04/05/2019,iOS,23.48
04/05/2019,SymbianOS,29.84
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,9.49
04/05/2019,Samsung,5.22
04/05/2019,Unknown,6.01
04/05/2019,Windows Phone,0.37
04/05/2019,Sony Ericsson,2.04
04/05/2019,Linux,0.07
04/05/2019,bada,0.48
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
